type id,level,whom id,howoften id,ofenlevel,reachable id,reachlevel,learned id
9,8,6,1,4,2,8,5
10,6,6,1,6,1,10,5
8,7,6,1,9,2,5,5
5,6,2,2,1,3,9,4
9,3,5,2,1,4,4,6
9,3,5,2,3,4,2,6
7,4,2,2,4,4,5,3
7,5,1,2,5,3,9,3
7,3,2,2,4,3,5,3
1,4,4,2,5,1,8,1
1,6,4,2,8,1,10,1
8,8,2,2,9,2,9,5
5,6,2,3,1,3,4,4
5,4,3,3,2,3,8,4
3,4,1,3,3,2,9,1
3,5,4,3,4,2,2,1
8,6,2,3,6,3,2,5
8,7,3,3,9,3,2,5
8,5,2,3,10,3,10,5
8,4,3,4,1,3,6,5
8,8,3,4,3,3,9,5
2,5,1,3,8,1,9,1
2,3,2,3,7,2,8,1
4,6,2,3,10,2,7,4
6,10,1,4,2,1,10,2
6,5,1,4,4,2,10,2
6,3,1,4,6,3,1,2
3,4,1,4,5,2,8,5
